"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Hoerner, Nico","663538","217","12.8",38.2,"105.8","85.4","95.7","88.7","84.2","400","159","383","58",26.7,"3",1.4,1.1
"Arraez, Luis","650333","212","14.6",41.5,"101","87.6","94.3","89.1","86.8","376","166","345","46",21.7,"0",0,0
"Clement, Ernie","676391","205","16",30.7,"109.7","85.6","95.5","89.3","83.5","386","161","371","53",25.9,"6",2.9,2.6
"Albies, Ozzie","645277","203","17.2",34,"107.7","86.4","96.6","90.4","83.4","416","178","389","53",26.1,"8",3.9,3.1
"Simpson, Chandler","802415","195","2.2",27.7,"106.3","84.1","93.1","85.7","84.5","335","109",,"31",16,"0",0,0
"Bichette, Bo","666182","194","8.4",32.5,"114.9","90.8","101.5","93","89.7","409","158","389","88",45.4,"14",7.2,5.5
"Lopez, Otto","672640","192","7.3",29.7,"112.8","90.4","101.3","93","88.4","415","152","396","86",44.8,"15",7.8,6.2
"Bregman, Alex","608324","191","14.4",33,"108.3","88.5","98.9","91.7","86.9","408","161","390","79",41.4,"10",5.2,3.8
"Garcia, Maikel","672580","191","8.6",33.5,"110.6","90.2","100.3","92","90.3","412","158","398","78",40.8,"8",4.2,3.3
"Edwards, Xavier","669364","191","11.2",40.8,"105.7","87.6","97.3","92.2","83.2","422","160","396","64",33.5,"13",6.8,5.2
"Lile, Daylen","695734","190","17",34.2,"109.5","87.7","98.2","90.9","84.1","429","180","405","69",36.5,"15",7.9,5.8
"Ramírez, José","608070","187","20.5",36.9,"110.8","90.1","100.2","93.1","88.3","410","189","396","79",42.5,"14",7.5,5.3
"Naylor, Josh","647304","186","14.5",33.3,"111.5","87.6","98.9","91.4","87.1","433","153","402","71",38.2,"11",5.9,4.6
"Witt Jr., Bobby","677951","186","15.7",38.7,"115.6","93.9","104.3","96.7","93.2","432","187","405","102",54.8,"25",13.4,9.8
"Rodríguez, Julio","677594","185","13.5",31.4,"113.6","90.4","102.8","95","87.2","436","165","411","80",43.2,"17",9.2,6.6
