"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"McGonigle, Kevin",805808,2026,21,211,246,60,42,12,3,3,34,33,13.8,13.4,".284",".412",".386","0.798",".268",".452",".361",".363",".372",".184","71.5",19.2,12.5,11,36.1,31.8,"6.9",7,16.3,-1.8,52.6,37.3,"88.1","20.6",39,9,37.3,"98.539247865","93.503865254",13.8,41.5
"Nuñez, Nasim",683083,2026,25,167,196,31,28,2,1,0,42,22,21.4,11.2,".186",".210",".283","0.493",".213",".258",".238",".268",".309",".046","67.9",1.9,6.4,5,27.6,21.6,"6.7",12,4.9,8.4,42.9,31.7,"84.7","9",30.5,0,19.8,"94.559580169","91.313520169",23.1,47.1
"Abreu, Wilyer",677800,2026,27,214,237,60,42,11,1,6,46,21,19.4,8.9,".280",".425",".343","0.768",".268",".457",".340",".342",".332",".189","73.7",37.7,14.8,12,30.9,24.9,"7.1",5,6.7,1.1,44.9,33.3,"89.5","17.2",31.8,10.7,41.2,"100.672300119","94.598793571",21.9,48.3
"Vientos, Mark",668901,2026,26,174,184,39,24,8,0,7,38,7,20.7,3.8,".224",".391",".261","0.652",".258",".483",".287",".331",".293",".225","73.2",25.5,21,14.9,35.6,25.2,"7.5",9,13,0.8,62.3,31.7,"90.4","14.1",32.8,10.2,46,"101.332477536","95.134366277",30.7,55.7
"Schmitt, Casey",669477,2026,27,187,201,54,30,11,1,12,39,7,19.4,3.5,".289",".551",".328","0.879",".275",".518",".379",".356",".316",".243","72.2",25.8,16.1,12.7,33.9,26.7,"7.7",6,10.2,-8.5,51.9,32.7,"89.5","21.9",36,14.8,44.7,"100.720478667","94.670335302",21.9,51.5
"Karros, Kyle",691720,2026,23,157,183,32,23,7,0,2,44,24,24,13.1,".204",".287",".306","0.593",".246",".350",".276",".319",".347",".104","70.1",5,8.6,6.7,30.5,23.8,"7",10,6.6,-5.8,43.3,37.4,"89.2","10.4",42.6,5.3,40,"99.731914211","94.089639649",24,40.9
"Harris II, Michael",671739,2026,25,198,207,61,42,6,0,13,39,7,18.8,3.4,".308",".535",".333","0.868",".309",".580",".377",".393",".337",".271","75",50,25.2,19.2,35.8,27.2,"8.2",7,7.6,-2.1,49.7,30.8,"93.4","11.1",28.1,16.4,55.6,"105.071702152","97.473321401",26.6,57.3
"Goodman, Hunter",696100,2026,26,197,215,48,26,9,0,13,75,14,34.9,6.5,".244",".487",".307","0.794",".215",".410",".346",".300",".281",".195","75.3",53.7,15.7,10.5,26.1,17.4,"7.4",8,14.6,-7.9,65,23.8,"91.2","17.4",33.6,14,46.7,"102.94584","95.975934298",33.9,55.5
"Carter, Evan",694497,2026,23,166,199,29,15,6,2,6,44,26,22.1,13.1,".175",".343",".296","0.639",".201",".347",".292",".301",".318",".146","71.3",20.9,12.1,9,31.4,23.4,"7.1",6,8.2,-6.3,44.2,32,"88.2","19.3",30.2,7.9,38.9,"99.196058852","93.719720744",25.4,40.9
"Dubón, Mauricio",643289,2026,31,202,217,51,34,12,2,3,34,13,15.7,6,".252",".376",".304","0.680",".255",".372",".304",".300",".307",".117","69.2",3,9.2,7.7,33.1,27.8,"7.6",4,4.4,2.1,38,31.1,"86.8","16.8",37.5,4.8,28,"96.498500357","92.249250179",17.7,51.5
