"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Cubs","CHC","2026","2325","1533",0.24,0.242,-0.0020000000000000018,0.389,0.404,-0.015000000000000013,0.326,0.329,-0.0030000000000000027
"Pirates","PIT","2026","2322","1518",0.253,0.248,0.0050000000000000044,0.397,0.409,-0.011999999999999955,0.327,0.327,0
"Nationals","WSH","2026","2303","1564",0.246,0.252,-0.006000000000000005,0.419,0.421,-0.0020000000000000018,0.329,0.331,-0.0020000000000000018
"Astros","HOU","2026","2275","1563",0.246,0.252,-0.006000000000000005,0.413,0.424,-0.01100000000000001,0.324,0.328,-0.0040000000000000036
"Braves","ATL","2026","2250","1577",0.26,0.259,0.0010000000000000009,0.435,0.445,-0.010000000000000009,0.335,0.336,-0.0010000000000000009
"Twins","MIN","2026","2243","1481",0.236,0.229,0.0069999999999999785,0.385,0.375,0.010000000000000009,0.315,0.307,0.008000000000000007
"Guardians","CLE","2026","2241","1530",0.231,0.242,-0.010999999999999982,0.371,0.376,-0.0050000000000000044,0.31,0.315,-0.0050000000000000044
"Angels","LAA","2026","2232","1418",0.23,0.231,-0.0010000000000000009,0.386,0.4,-0.014000000000000012,0.314,0.317,-0.0030000000000000027
"Orioles","BAL","2026","2232","1459",0.238,0.247,-0.009000000000000008,0.394,0.409,-0.014999999999999958,0.318,0.325,-0.007000000000000006
"Athletics","ATH","2026","2227","1489",0.246,0.246,0,0.391,0.398,-0.007000000000000006,0.321,0.32,0.0010000000000000009
"Mariners","SEA","2026","2227","1462",0.233,0.245,-0.011999999999999983,0.395,0.415,-0.019999999999999962,0.318,0.329,-0.01100000000000001
"Dodgers","LAD","2026","2219","1512",0.261,0.267,-0.006000000000000005,0.441,0.452,-0.01100000000000001,0.346,0.352,-0.006000000000000005
"Tigers","DET","2026","2211","1461",0.231,0.242,-0.010999999999999982,0.367,0.406,-0.039000000000000035,0.306,0.322,-0.016000000000000014
"Rockies","COL","2026","2209","1479",0.245,0.239,0.006000000000000005,0.384,0.378,0.006000000000000005,0.311,0.304,0.007000000000000006
"White Sox","CWS","2026","2206","1419",0.238,0.241,-0.0030000000000000027,0.407,0.415,-0.008000000000000007,0.325,0.327,-0.0020000000000000018
"Blue Jays","TOR","2026","2202","1579",0.244,0.248,-0.0040000000000000036,0.38,0.376,0.0040000000000000036,0.307,0.306,0.0010000000000000009
"Marlins","MIA","2026","2200","1493",0.245,0.235,0.010000000000000009,0.377,0.361,0.016000000000000014,0.312,0.301,0.01100000000000001
"Yankees","NYY","2026","2200","1427",0.242,0.251,-0.009000000000000008,0.437,0.444,-0.007000000000000006,0.339,0.344,-0.004999999999999949
"Reds","CIN","2026","2176","1410",0.23,0.245,-0.014999999999999986,0.394,0.428,-0.033999999999999975,0.315,0.333,-0.018000000000000016
"Rangers","TEX","2026","2165","1436",0.234,0.241,-0.0069999999999999785,0.381,0.393,-0.01200000000000001,0.311,0.317,-0.006000000000000005
"Royals","KC","2026","2158","1480",0.234,0.241,-0.0069999999999999785,0.373,0.382,-0.009000000000000008,0.305,0.31,-0.0050000000000000044
"Phillies","PHI","2026","2156","1482",0.225,0.246,-0.02099999999999999,0.382,0.403,-0.02100000000000002,0.3,0.316,-0.016000000000000014
"Mets","NYM","2026","2154","1503",0.228,0.246,-0.017999999999999988,0.356,0.416,-0.06,0.29,0.317,-0.027000000000000024
"Red Sox","BOS","2026","2154","1467",0.246,0.243,0.0030000000000000027,0.375,0.377,-0.0020000000000000018,0.311,0.309,0.0020000000000000018
"Giants","SF","2026","2140","1554",0.247,0.248,-0.0010000000000000009,0.392,0.387,0.0050000000000000044,0.302,0.299,0.0030000000000000027
"Cardinals","STL","2026","2138","1461",0.238,0.248,-0.010000000000000009,0.384,0.413,-0.02899999999999997,0.313,0.326,-0.013000000000000012
"D-backs","AZ","2026","2121","1498",0.247,0.25,-0.0030000000000000027,0.399,0.389,0.010000000000000009,0.315,0.313,0.0020000000000000018
"Rays","TB","2026","2115","1498",0.26,0.244,0.016000000000000014,0.39,0.368,0.02200000000000002,0.324,0.307,0.017000000000000015
"Brewers","MIL","2026","2112","1418",0.243,0.236,0.007000000000000006,0.361,0.373,-0.01200000000000001,0.311,0.311,0
"Padres","SD","2026","2079","1392",0.218,0.241,-0.022999999999999993,0.365,0.396,-0.031000000000000028,0.294,0.314,-0.020000000000000018
