"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Nationals","WSH","2026","2355","1633",0.254,0.258,-0.0040000000000000036,0.42,0.45,-0.030000000000000027,0.333,0.344,-0.010999999999999954
"Astros","HOU","2026","2315","1495",0.241,0.24,0.0010000000000000009,0.409,0.395,0.013999999999999957,0.339,0.333,0.006000000000000005
"Angels","LAA","2026","2305","1481",0.24,0.237,0.0030000000000000027,0.385,0.387,-0.0020000000000000018,0.326,0.323,0.0030000000000000027
"Orioles","BAL","2026","2291","1583",0.261,0.254,0.007000000000000006,0.429,0.415,0.014000000000000012,0.337,0.328,0.009000000000000008
"Rockies","COL","2026","2285","1644",0.281,0.274,0.007000000000000006,0.468,0.459,0.009000000000000008,0.355,0.349,0.006000000000000005
"Pirates","PIT","2026","2275","1487",0.229,0.239,-0.009999999999999981,0.368,0.376,-0.008000000000000007,0.306,0.31,-0.0040000000000000036
"Athletics","ATH","2026","2272","1554",0.254,0.246,0.008000000000000007,0.424,0.4,0.023999999999999966,0.337,0.324,0.013000000000000012
"Twins","MIN","2026","2253","1544",0.248,0.24,0.008000000000000007,0.394,0.396,-0.0020000000000000018,0.323,0.32,0.0030000000000000027
"Mets","NYM","2026","2241","1451",0.236,0.237,-0.0010000000000000009,0.37,0.363,0.007000000000000006,0.309,0.305,0.0040000000000000036
"Guardians","CLE","2026","2240","1460",0.237,0.237,0,0.39,0.398,-0.008000000000000007,0.312,0.313,-0.0010000000000000009
"Reds","CIN","2026","2237","1510",0.249,0.26,-0.01100000000000001,0.431,0.447,-0.016000000000000014,0.343,0.353,-0.009999999999999953
"White Sox","CWS","2026","2218","1487",0.235,0.245,-0.010000000000000009,0.395,0.398,-0.0030000000000000027,0.32,0.324,-0.0040000000000000036
"Marlins","MIA","2026","2208","1473",0.23,0.235,-0.004999999999999977,0.376,0.391,-0.015000000000000013,0.309,0.314,-0.0050000000000000044
"Phillies","PHI","2026","2202","1481",0.257,0.237,0.020000000000000018,0.393,0.377,0.016000000000000014,0.315,0.298,0.017000000000000015
"Giants","SF","2026","2201","1501",0.247,0.247,0,0.402,0.394,0.008000000000000007,0.325,0.32,0.0050000000000000044
"Royals","KC","2026","2201","1490",0.252,0.257,-0.0050000000000000044,0.427,0.432,-0.0050000000000000044,0.337,0.337,0
"Blue Jays","TOR","2026","2200","1458",0.242,0.238,0.0040000000000000036,0.371,0.375,-0.0040000000000000036,0.305,0.304,0.0010000000000000009
"Tigers","DET","2026","2189","1497",0.24,0.241,-0.0010000000000000009,0.388,0.384,0.0040000000000000036,0.312,0.31,0.0020000000000000018
"Mariners","SEA","2026","2183","1499",0.246,0.249,-0.0030000000000000027,0.382,0.402,-0.020000000000000018,0.306,0.313,-0.007000000000000006
"Cubs","CHC","2026","2178","1509",0.238,0.252,-0.014000000000000012,0.404,0.433,-0.02899999999999997,0.315,0.329,-0.014000000000000012
"Cardinals","STL","2026","2176","1512",0.256,0.266,-0.010000000000000009,0.395,0.444,-0.04899999999999999,0.326,0.345,-0.01899999999999996
"Braves","ATL","2026","2165","1432",0.213,0.229,-0.016000000000000014,0.354,0.37,-0.016000000000000014,0.29,0.301,-0.01100000000000001
"Rangers","TEX","2026","2129","1444",0.226,0.246,-0.01999999999999999,0.373,0.414,-0.04099999999999998,0.302,0.322,-0.020000000000000018
"Red Sox","BOS","2026","2129","1447",0.239,0.254,-0.015000000000000013,0.388,0.421,-0.032999999999999974,0.312,0.328,-0.016000000000000014
"Padres","SD","2026","2122","1418",0.233,0.233,0,0.367,0.376,-0.009000000000000008,0.306,0.308,-0.0020000000000000018
"Yankees","NYY","2026","2119","1421",0.221,0.226,-0.0050000000000000044,0.338,0.347,-0.008999999999999952,0.285,0.289,-0.0040000000000000036
"D-backs","AZ","2026","2118","1528",0.241,0.254,-0.013000000000000012,0.408,0.442,-0.03400000000000003,0.315,0.331,-0.016000000000000014
"Rays","TB","2026","2090","1475",0.235,0.256,-0.02100000000000002,0.386,0.427,-0.04099999999999998,0.304,0.326,-0.02200000000000002
"Dodgers","LAD","2026","2068","1367",0.208,0.23,-0.02200000000000002,0.335,0.371,-0.035999999999999976,0.275,0.295,-0.019999999999999962
"Brewers","MIL","2026","2027","1282",0.218,0.228,-0.010000000000000009,0.338,0.349,-0.010999999999999954,0.289,0.294,-0.0050000000000000044
