"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Alcantara, Sandy","645261","245","11.1",29.4,"111.3","88.6","77.8","93","85.5","418","153","396","91",37.1,"16",6.5,5
"Kirby, George","669923","222","9",28.8,"109.2","89.3","78.6","92.5","87.5","412","138","389","93",41.9,"12",5.4,4
"Lugo, Seth","607625","215","15.9",38.6,"110.9","90","79.8","92.6","88.4","435","181","405","89",41.4,"22",10.2,7.4
"Ober, Bailey","641927","214","23.1",27.6,"115.5","87.9","76.8","93.1","83.6","424","169","402","70",32.7,"21",9.8,7.5
"Martinez, Nick","607259","214","14.1",32.2,"111.9","86.6","74.8","91.5","83","415","166","403","67",31.3,"14",6.5,5.2
"Lorenzen, Michael","547179","213","10.1",39,"114.2","89.9","78.4","94","87.3","454","167","411","99",46.5,"19",8.9,6.8
"Sánchez, Cristopher","650911","211","1.8",29.4,"112.7","89.1","77.2","94","86.7","429","128","403","93",44.1,"18",8.5,5.6
"Valdez, Framber","664285","211","9.5",30.8,"111.9","90.2","79.7","93.4","87.5","449","159","394","92",43.6,"15",7.1,5.1
"Elder, Bryce","693821","208","12.5",33.2,"113","89.8","79.7","93.4","87.3","454","158","411","81",38.9,"7",3.4,2.4
"Keller, Mitch","656605","206","13.2",36.9,"110.8","87.9","76.3","93.2","83.9","406","161","393","80",38.8,"12",5.8,4.3
"Nelson, Ryne","669194","204","20.6",35.8,"112.4","90.6","80.5","94.3","86.8","441","208","403","88",43.1,"24",11.8,8.6
"Gausman, Kevin","592332","201","14.9",32.8,"112.3","87.3","74.9","93.2","82.7","418","168","391","71",35.3,"16",8,5.7
"Abbott, Andrew","671096","201","17.3",31.8,"113","89.5","79.3","93.6","87.1","415","179","386","77",38.3,"14",7,5.2
"Cecconi, Slade","677944","199","13.5",37.7,"112.1","87.8","76.4","93.1","83","441","170","395","69",34.7,"17",8.5,6.3
"Gallen, Zac","668678","199","10.4",32.2,"113.6","90.8","80.2","94.6","87.4","436","169","386","90",45.2,"21",10.6,8
"Houser, Adrian","605288","198","10.2",36.4,"112.5","90.6","79.3","94.9","88.2","446","155","405","89",44.9,"18",9.1,7
"Rodriguez, Eduardo","593958","198","12",35.9,"111.1","88.8","78.3","94.1","83.4","428","167","412","71",35.9,"15",7.6,5.5
