"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Nelson, Ryne",669194,"AZ","FF","4-Seam Fastball",0.3,2,"592",58,"170","0.224","0.449","0.325",21.2,18.2,15.4,"0.262","0.541","0.368",46.4
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",1.7,10,"590",53.3,"167","0.263","0.395","0.308",18.1,21.6,20.8,"0.271","0.462","0.342",44.2
"Pérez, Eury",691587,"MIA","FF","4-Seam Fastball",0.2,1,"505",47.5,"154","0.218","0.414","0.331",24,30.5,26.9,"0.218","0.432","0.332",47.7
"Abbott, Andrew",671096,"CIN","FF","4-Seam Fastball",-0.1,-1,"515",47.9,"149","0.27","0.429","0.379",10.4,8.7,9,"0.335","0.543","0.424",47.4
"Peralta, Freddy",642547,"NYM","FF","4-Seam Fastball",0.8,5,"614",53.9,"144","0.222","0.317","0.3",22.4,20.1,18.7,"0.248","0.386","0.323",49
"Sánchez, Cristopher",650911,"PHI","SI","Sinker",0.6,3,"499",43.3,"142","0.319","0.437","0.354",13.8,15.5,20.6,"0.301","0.517","0.365",60.2
"Misiorowski, Jacob",694819,"MIL","FF","4-Seam Fastball",1.3,8,"621",62.3,"141","0.187","0.268","0.27",45.2,48.2,35.6,"0.184","0.271","0.261",41.8
"Singer, Brady",663903,"CIN","SI","Sinker",-1.5,-6,"423",46.3,"141","0.317","0.556","0.411",11.1,12.8,14.9,"0.3","0.503","0.378",44.5
"Sánchez, Cristopher",650911,"PHI","CH","Changeup",2.8,12,"436",37.8,"141","0.153","0.176","0.183",49.8,43.3,35.5,"0.138","0.176","0.169",20.8
"Valdez, Framber",664285,"DET","SI","Sinker",0.4,2,"503",47,"138","0.289","0.413","0.351",10.9,7.2,12.8,"0.301","0.507","0.384",52.7
"Burns, Chase",695505,"CIN","FF","4-Seam Fastball",1.4,8,"566",57.2,"133","0.191","0.322","0.289",20.6,15.8,14.4,"0.235","0.382","0.324",37.2
"Flaherty, Jack",656427,"DET","FF","4-Seam Fastball",-0.6,-3,"508",48.6,"131","0.266","0.44","0.362",19.8,26.7,22,"0.26","0.43","0.354",57.1
"Houser, Adrian",605288,"SF","SI","Sinker",-1.3,-5,"422",45.6,"130","0.296","0.519","0.408",8.5,4.6,7.6,"0.337","0.54","0.428",46.7
"Wrobleski, Justin",680736,"LAD","FF","4-Seam Fastball",2,9,"467",51.4,"129","0.2","0.275","0.241",19.9,23.3,20.8,"0.235","0.376","0.292",42.2
"Woo, Bryan",693433,"SEA","FF","4-Seam Fastball",1.8,9,"517",49.9,"123","0.209","0.322","0.253",25.5,24.4,17.6,"0.208","0.359","0.267",40.7
"Bello, Brayan",678394,"BOS","SI","Sinker",0.2,1,"404",43,"122","0.314","0.41","0.364",16.9,11.5,17.9,"0.329","0.477","0.391",51.1
"Ray, Robbie",592662,"SF","FF","4-Seam Fastball",-0.2,-1,"469",44.9,"121","0.238","0.535","0.373",18,19.8,16,"0.232","0.529","0.374",41.3
"Springs, Jeffrey",605488,"ATH","FF","4-Seam Fastball",-0.1,0,"458",43.4,"120","0.219","0.371","0.318",14.9,18.3,14.5,"0.224","0.394","0.315",36.9
"Harrison, Kyle",690986,"MIL","FF","4-Seam Fastball",1.6,8,"519",58.9,"119","0.224","0.318","0.282",30.8,33.6,22.2,"0.233","0.351","0.296",31.3
"Eovaldi, Nathan",543135,"TEX","FS","Split-Finger",2.3,9,"387",38.3,"118","0.165","0.284","0.231",35.6,28.8,27,"0.229","0.376","0.292",49.3
"Gore, MacKenzie",669022,"TEX","FF","4-Seam Fastball",1.2,5,"461",43.4,"116","0.222","0.354","0.307",20.2,21.6,20.7,"0.227","0.373","0.315",40
"Chandler, Bubba",696149,"PIT","FF","4-Seam Fastball",-0.7,-3,"483",51.4,"115","0.209","0.407","0.367",22.3,20,15,"0.237","0.472","0.383",44.1
"Detmers, Reid",672282,"LAA","FF","4-Seam Fastball",0.4,2,"505",44,"114","0.225","0.353","0.305",22.1,23.7,18.9,"0.206","0.317","0.28",50
"Kochanowicz, Jack",686799,"LAA","SI","Sinker",1,4,"392",39.2,"113","0.242","0.343","0.32",16.8,8.8,15.9,"0.288","0.482","0.374",54.4
"Sale, Chris",519242,"ATL","SL","Slider",1.3,6,"422",40.7,"112","0.15","0.21","0.23",39.2,43.8,28.8,"0.172","0.229","0.229",11.8
"Imanaga, Shota",684007,"CHC","FS","Split-Finger",1.1,4,"378",34.7,"111","0.168","0.327","0.243",41.7,31.5,24.6,"0.181","0.301","0.224",23.6
"Bradley, Taj",671737,"MIN","FF","4-Seam Fastball",0.6,3,"446",46.3,"110","0.247","0.43","0.35",13.3,12.7,13.7,"0.274","0.504","0.382",46.9
"Imanaga, Shota",684007,"CHC","FF","4-Seam Fastball",-0.8,-4,"455",41.8,"108","0.276","0.531","0.374",18.1,21.3,19.2,"0.286","0.554","0.386",58.7
"Schlittler, Cam",693645,"NYY","FF","4-Seam Fastball",2.3,11,"482",44.8,"106","0.188","0.257","0.222",34.8,37.7,23.5,"0.185","0.295","0.225",45.2
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",1.1,5,"443",43,"106","0.235","0.378","0.304",27.3,24.5,17.3,"0.229","0.367","0.288",44.4
"Baz, Shane",669358,"BAL","CU","Curveball",-0.3,-1,"355",33.3,"106","0.273","0.424","0.313",28.7,30.2,23.2,"0.234","0.364","0.277",44.9
"Burke, Sean",680732,"CWS","FF","4-Seam Fastball",1,4,"361",37.1,"105","0.207","0.348","0.29",19.4,26.7,17.5,"0.216","0.379","0.304",35.4
"Sasaki, Roki",808963,"LAD","FF","4-Seam Fastball",-1.3,-5,"393",43.9,"105","0.319","0.582","0.425",19.8,12.4,14,"0.328","0.597","0.433",60.3
"Castillo, Luis",622491,"SEA","FF","4-Seam Fastball",-1.3,-6,"431",44.3,"105","0.276","0.517","0.388",29.9,29.5,18.5,"0.247","0.45","0.355",51.7
"McLean, Nolan",690997,"NYM","SI","Sinker",2.5,9,"364",36,"105","0.191","0.33","0.266",17.9,24.8,31.7,"0.204","0.326","0.269",39.1
"Bassitt, Chris",605135,"BAL","SI","Sinker",-1.1,-4,"345",37.4,"105","0.344","0.462","0.394",14.6,14.3,20.8,"0.291","0.401","0.342",44.3
