"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Alcantara, Sandy","645261","97.3","97.2","89.9","85.1","90.8","83.1",,,"84.3",
"Soriano, José","667755","97.7","96.7",,"90.4",,"85.6","92.6",,,
"Sánchez, Cristopher","650911",,"95",,"85.7","86.5",,,,,
"Luzardo, Jesús","666200","97.1","96",,,"86.4",,,,"86.3",
"Detmers, Reid","672282","94","93.5",,"86.3","83.4","72.5",,,,
"Peralta, Freddy","642547","93.9",,,"83","87.3","79.1",,,,
"Lugo, Seth","607625","91.6","91.4","89.8","84.1","84.6","75.8",,,"78.6","77.5"
"Williams, Gavin","668909","96.6","95.9","92",,,"82.5",,,"87",
"Griffin, Foster","656492","91.4","91","87.8",,"82.5","77.9","81.1",,"79.7",
"Kirby, George","669923","96.7","96.9","93",,"88.7","83.8",,,"87",
"Gausman, Kevin","592332","93.9",,,"84.3",,,"84",,,
"Gilbert, Logan","669302","95.4","93.8","91.2","86.2","85.4","80.3","81",,,
"King, Michael","650633","94.1","92.6",,"84.6","86.3",,,,"82",
"Imanaga, Shota","684007","91.8","90.2",,,,"74.6","83.3",,"81.6",
"Severino, Luis","622663","96.9","96.3","94.3","86.9","86.6",,,,"84.9",
"Messick, Parker","800048","93.8","92.1","90.7","86.9","85.4","79",,,,
"Cease, Dylan","656302","97.8","96.3",,"89.3","84.4","82.7",,,"84.2",
"Meyer, Max","676974","95","93.5",,"90.3","87.5",,,,"88.5",
"Schlittler, Cam","693645","97.8","97.3","94.1","89.4",,"84.5",,,"89.3",
"Abbott, Andrew","671096","92.7",,"86.7",,"86","79.7",,,"82",
"Valdez, Framber","664285","95.2","94",,"85.9","89.1","78.5",,,,
"Baz, Shane","669358","96.3","95.6","89.6",,"88.9","85.4",,,,
"Pérez, Eury","691587","98.2","97.6",,"87.8","89.8","80.9",,,"83.3",
"Gore, MacKenzie","669022","95.3","95.1","90","85.9","86.8","81.8",,,,
"Kay, Anthony","641743","95.8","94.9","91","85","85.9",,,,"82.5",
"Springs, Jeffrey","605488","91.3",,"88.8","83.7","79.4",,,,"76.3",
"Bibee, Tanner","676440","94.1","94","86",,"81","77.9",,,"83.7",
"Lorenzen, Michael","547179","94.2","93.5","90.5","86","84.6","82.8",,,"82.9",
"Flaherty, Jack","656427","92.4","90.5",,"84.7","84.7","78.1",,,,
"Ray, Robbie","592662","93.2","92.8",,"85.2","85.6","78.9",,,,
"Roupp, Landen","694738","92.8","93.3","88.2",,"87.1","76.6",,,,
"Keller, Mitch","656605","93.4","92.2","90.1","87.7","88.9","78.3",,,"82.3",
"Rodriguez, Eduardo","593958","91.9","91.4","88.5",,"85.7","79",,,,
"Sale, Chris","519242","95.6","95",,"78.9","87.6",,,,,
"Skenes, Paul","694973","97.2","96.8",,"86.5","88.9","81.8","93.5",,"84",
"Woo, Bryan","693433","95.6","95.3",,"86.4","89.6",,,,"84.3",
"Elder, Bryce","693821","92.6","91.5","88.8","83.2","85.8",,,,,
"Ober, Bailey","641927","88.5","88.6",,"82.5","83","73",,,"76.6",
"Ryan, Joe","657746","93","92.8",,"85.7",,"78.4","87.2",,"79.5",
"Bradish, Kyle","680694","93.9","94.6",,"86.9",,"84.3",,,,
"Leiter, Jack","683004","96.7","95.7","93","86.6","89.9","81.7",,,,
"Cecconi, Slade","677944","93.2","93.3","87.9",,"81.5","74.9",,,"81.5",
"Weathers, Ryan","677960","95.6","93.8",,"87","85.2",,,,"81",
"Nelson, Ryne","669194","96.3","95.5","92.9","88.4",,"80.6",,,,
"Gallen, Zac","668678","93.5","92.7",,"88.5","86.5","81.7",,,,
"Burrows, Mike","681347","94.9","94.5",,"89.8","86.9","79.5",,,,
"Wacha, Michael","608379","92.9","93.1","88.9","85.3","80.3","76",,,,
"McLean, Nolan","690997","96.1","94.8","91.6",,"87.9","81.3",,,"84.6",
"Cavalli, Cade","676917","96.5","95.9",,,"89","85.2",,,"85.4",
"Eovaldi, Nathan","543135","94.6","93.5","90.7","86.7",,"76.5","88.4",,,
"Cantillo, Joey","676282","91.8",,"87.5","83","80.3","79.3",,,,
"Hancock, Emerson","676106","95.1","94.7","85.5",,"87.3","76.2",,,"77.4",
"Martin, Davis","663436","94.2","92.8","89.5","87.3","90.4","82",,,,
"Rea, Colin","607067","93.8","92.4","87","85.8",,"79.7","87.6",,"82.7",
"Kochanowicz, Jack","686799","96.1","95.6",,"85.6","89.9",,,,,
"Misiorowski, Jacob","694819","99.8",,,"94.5","92.7","87.4",,,,
"Taillon, Jameson","592791","91.7","91.9","86",,"84.3","78.8",,,"80",
"Pallante, Andre","669467","95","95.1",,"87.5",,"77.6","87.6",,,
"Burns, Chase","695505","98",,,"90.9","90","81.9",,,,
"Soroka, Michael","647336","93.6","93.3","89.1",,"85.8",,,,,"80.6"
"Early, Connelly","813349","93.8","92.2",,"86.8","83.5","79.9",,,"82.1",
"Ashcraft, Braxton","677952","97","96.6",,"91.9",,"85","91.5",,,
"Vásquez, Randy","681190","94.9","94.7","90.1","86.2","88.1","84.1",,,"84.4",
"Castillo, Luis","622491","94.9","95.2","92.3","85.1","87.4",,,,,
"Burke, Sean","680732","94.2","94.3","90.1","86.8","85.9","79.5",,,,
"Warren, Will","701542","93.7","93.5",,,"86.8","81.3",,,"84.3",
"Nola, Aaron","605400","92.1","91.2","86",,"85.6","78.3",,,,
"Mahle, Tyler","641816","92.2","91.9","88","84.6",,,"85.3",,,
"Bradley, Taj","671737","96.7",,"89.4",,,"81.5","90.8",,,
"deGrom, Jacob","594798","97.1","96.4",,"91.1","89.9","81.3",,,,
"McGreevy, Michael","700241","91.4","90.3","86.4","83.4","86.6","77.6",,,"81.2",
"May, Dustin","669160","96.9","96.6","93.3",,"90.2","83.2",,,"85.9",
"Yamamoto, Yoshinobu","808967","95.7","95.1","91.1","86.9",,"76.7","91.3",,,
"Junk, Janson","676083","94.3","93.4",,"86.4","87.3","80.7",,,"80.1",
