"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Griffin, Foster",656492,2026,30,"12","67.0",259,233,51,31,10,0,10,60,19,23.2,7.3,".219",".391",".291","0.682",".245",".423",".304",".322",".314",".178","72.4",27.7,15.7,12.4,30.8,24.3,"7.4",13,10.1,-0.8,51.9,32.9,"88.2","13.5",36.6,12,37.1,"76.283802093","94.116840174",24.1,45.9
"Peralta, Freddy",642547,2026,30,"12","66.0",285,253,58,37,12,1,8,68,28,23.9,9.8,".229",".379",".310","0.689",".233",".365",".310",".304",".314",".133","71.7",23.1,13.4,10,31.8,23.8,"7.2",12,9.9,-1.5,51.7,32.9,"88","14.4",37.4,5.3,39.6,"76.9670125","93.766819728",27,47.1
"Burke, Sean",680732,2026,26,"11","60.0",249,227,53,32,14,2,5,54,16,21.7,6.4,".233",".379",".298","0.677",".248",".386",".303",".308",".312",".139","71.5",25,11.9,9.8,31.3,25.8,"7.2",12,9.7,-0.9,56.2,30.4,"89","17.4",35.1,6.3,36.8,"78.886887326","93.630880468",19.5,48
"Severino, Luis",622663,2026,32,"12","62.2",271,236,61,40,10,2,9,65,31,24,11.4,".258",".432",".349","0.781",".231",".388",".349",".318",".326",".157","71.5",22.8,11,8.5,28.8,22.2,"7.1",10,6.5,2.9,44.1,31.9,"88.8","11.6",34.1,8.7,38.7,"78.384796047","93.696996959",23,47.6
"Ginn, J.T.",669372,2026,27,"13","59.2",217,189,38,24,8,0,6,48,23,22.1,10.6,".201",".339",".296","0.635",".231",".363",".290",".308",".323",".132","72.6",31.1,10.3,7.9,27.8,21.1,"7.4",5,11.6,-2.5,58.9,32.6,"86.7","8.6",28.7,6.3,32.9,"75.087411127","93.183943404",24.3,45.2
"Ober, Bailey",641927,2026,30,"12","66.2",254,234,51,27,15,0,9,43,17,16.9,6.7,".218",".397",".277","0.674",".231",".416",".299",".307",".289",".185","73",32.4,13.5,11,32.7,26.7,"7.7",6,15.1,-10,63.1,30.5,"87.3","23.8",26,9.4,30.2,"76.383030526","93.084864368",20.6,47.8
"Springs, Jeffrey",605488,2026,33,"12","66.1",277,252,59,36,9,2,12,57,20,20.6,7.2,".234",".429",".292","0.721",".236",".407",".316",".311",".299",".171","72",25.5,13.4,10.4,35.1,27.1,"7.4",9,11.3,-4.1,54.6,30.5,"87.3","16.8",34.3,9.1,34.3,"76.199807959","93.252822143",24,47.3
"Abbott, Andrew",671096,2026,27,"12","62.2",271,241,62,47,5,1,9,42,27,15.5,10,".257",".398",".330","0.728",".278",".444",".326",".348",".351",".166","71.8",22.7,13.2,10.8,33,26.8,"7.4",8,8.5,0.6,46.1,32.8,"89.5","17.3",31.8,7.3,38.3,"79.292465474","94.119424105",21.1,46
"Burns, Chase",695505,2026,23,"11","64.1",249,228,42,25,9,0,8,72,20,28.9,8,".184",".329",".250","0.579",".201",".345",".261",".271",".267",".144","72.3",26.5,12,8.2,29.6,20.1,"7.4",12,11.1,-2.5,52.9,32,"88.9","17.5",26.3,8.7,37.8,"77.800707027","94.133467211",33.9,48.9
"Luzardo, Jesús",666200,2026,28,"12","67.0",260,236,62,44,12,1,5,72,17,27.7,6.5,".263",".386",".320","0.706",".227",".335",".316",".283",".291",".108","71.3",21,8.5,6,28.2,19.8,"7.4",14,11.1,-5.3,46.2,33.4,"85.7","7.9",36.5,5.4,28.1,"74.46744","92.427087561",32,46.4
"Leiter, Jack",683004,2026,26,"11","60.2",264,234,57,40,6,2,9,64,26,24.2,9.8,".244",".402",".330","0.732",".254",".432",".329",".339",".338",".179","72.3",26.8,11.9,8.8,30.9,22.7,"7.2",10,10.5,-2.2,52.4,32.8,"87.8","13.5",38.2,11.2,40.6,"75.851213882","94.203999941",27.2,47.3
"Schlittler, Cam",693645,2026,25,"12","72.0",275,260,48,36,8,1,3,81,13,29.5,4.7,".185",".258",".223","0.481",".213",".329",".218",".255",".251",".116","71.9",28.8,9.4,6.8,25.5,18.4,"6.9",14,6.4,5.2,54.8,29,"87.8","10.8",33.1,6.6,39.2,"75.852813708","93.951877978",28.8,54.8
"Pérez, Eury",691587,2026,23,"12","62.2",265,231,51,24,15,1,11,72,28,27.2,10.6,".221",".437",".317","0.754",".232",".460",".334",".345",".329",".227","72.2",28.3,13,9.6,27.5,20.3,"7.4",11,10.9,-5,53.3,31.8,"89.1","21.5",37.5,15,42.5,"77.316546625","94.707257987",29.1,50.5
"Messick, Parker",800048,2026,25,"12","69.1",250,229,48,35,6,1,6,70,19,28,7.6,".210",".323",".273","0.596",".231",".344",".270",".284",".293",".112","72.6",31.7,10.7,7.9,28.2,20.8,"8",4,9.3,-2.1,49.1,32.9,"87.1","14.1",34.4,5,32.5,"75.970793291","93.307209873",27.8,48.6
"Ryan, Joe",657746,2026,30,"12","64.1",255,234,46,29,13,0,4,70,14,27.5,5.5,".197",".303",".255","0.558",".204",".332",".253",".269",".265",".128","71.8",26.2,12.5,9.3,30.8,23,"7.3",9,10.4,-2.7,53.1,31.9,"89.7","18.5",30.1,9.6,41,"79.167454578","94.383850121",25.9,50.6
"Yamamoto, Yoshinobu",808967,2026,27,"10","64.0",248,232,50,32,9,0,9,59,13,23.8,5.2,".216",".371",".262","0.633",".252",".412",".281",".309",".297",".159","72.2",25.4,16,11.4,35.9,25.4,"7.4",2,9.7,-3,58,33.3,"89.1","9.4",32.2,8,40.8,"77.522712209","94.715468372",29,48.6
"Rasmussen, Drew",656876,2026,30,"11","59.0",218,206,44,33,4,0,7,51,10,23.4,4.6,".214",".335",".252","0.587",".243",".370",".262",".284",".280",".127","72",25.8,13.7,10.7,30.3,23.8,"7.2",10,7.4,1.5,53.6,32.5,"87","8.8",28.8,7.7,32.7,"75.338559221","93.472588889",23.5,48
"Cecconi, Slade",677944,2026,27,"12","61.2",272,245,72,51,12,0,9,50,20,18.4,7.4,".294",".453",".349","0.802",".270",".445",".353",".337",".329",".175","72.1",26.3,14.5,11.7,34.9,28.2,"7.5",6,11.1,-3.7,52.3,30.9,"87.8","13.5",37.7,8.6,34.7,"76.38226","93.733933265",20.6,46.8
"Gausman, Kevin",592332,2026,35,"12","69.0",280,262,63,46,10,1,6,66,12,23.6,4.3,".240",".355",".274","0.629",".245",".391",".279",".295",".281",".146","71.7",24.1,13,9.5,29.5,21.7,"7.4",8,9.6,-3.6,39.1,34.5,"87.3","14.9",32.8,8,35.3,"74.909992121","93.950153401",25.9,51.3
"deGrom, Jacob",594798,2026,38,"11","59.2",238,225,48,28,7,0,13,70,12,29.4,5,".213",".418",".252","0.670",".239",".450",".291",".312",".277",".212","72.8",29.9,14.1,9.5,30.8,20.6,"7.5",13,11.9,-3.4,55.1,32.4,"91.4","20.8",41,11.5,46.2,"81.404228205","95.227882452",33.9,53.3
"Ashcraft, Braxton",677952,2026,26,"11","68.2",275,249,55,37,11,1,6,70,17,25.5,6.2,".221",".345",".281","0.626",".214",".328",".281",".274",".279",".114","72.2",25.5,13.3,9.8,34.2,25.3,"7.4",9,11.2,-3.8,55.9,33.1,"89.6","12.8",28.4,5.5,37.2,"79.344714222","94.108816722",27,50.9
"Vásquez, Randy",681190,2026,27,"11","60.1",249,225,57,35,13,1,8,47,17,18.9,6.8,".253",".427",".310","0.737",".293",".536",".324",".383",".350",".244","72.7",29.5,16.1,12.7,32.5,25.7,"7.6",5,10.3,-3.1,54.4,33.1,"90.7","17",38.5,13.2,45.6,"80.139117444","95.101872",22.6,49.4
"Roupp, Landen",694738,2026,27,"11","60.0",248,223,49,34,11,1,3,68,22,27.4,8.9,".220",".318",".296","0.614",".229",".306",".281",".278",".304",".076","71.6",22.5,10.2,7.8,31.2,23.8,"7.5",8,12,-6.1,49.5,34.6,"86.8","8.5",34,2.6,26.3,"76.962732895","92.359209474",26.2,42.4
